enunciado;alternativas;resposta;score
"(Verdadeiro ou Falso) Na frase ""Os alunos, que estavam ansiosos, entregaram a prova"", as vírgulas indicam que todos os alunos estavam ansiosos.";"A)Verdadeiro;B)Falso";0;10
"(Verdadeiro ou Falso) A palavra ""paralisar"" é escrita com 's' porque deriva do substantivo ""paralisia"".";"A)Verdadeiro;B)Falso";0;10
"Analise a frase: ""Dois grandes barcos antigos navegavam pelo oceano azul."" Quantos adjetivos existem nesta sentença?";"A)2;B)3;C)4;D)5";1;10
"Qual é o sentido da conjunção ""embora"" na frase: ""Embora estivesse chovendo, ele foi caminhar""?";"A)Causa;B)Condição;C)Oposição ou Concessão;D)Tempo";2;10
"Identifique a frase que utiliza corretamente a norma padrão para o uso de ""mim"" e ""eu"":";"A)Este livro é para mim ler.;B)Este livro é para eu ler.;C)Não há nada entre eu e você.;D)Empreste o caderno para eu.";1;10
Qual das alternativas abaixo apresenta um erro de concordância nominal?;"A)Seguem anexos os documentos.;B)Elas mesmas fizeram o trabalho.;C)É proibido a entrada de estranhos.;D)A comida estava muito boa.";2;10
"Qual das alternativas apresenta uma reescrita gramaticalmente correta e que mantém o sentido de: ""Mal o sol despontou, os trabalhadores iniciaram a jornada""?";"A)Assim que o sol despontou, os trabalhadores iniciariam a jornada.;B)Apenas o sol despontou, os trabalhadores iniciaram a jornada.;C)Mal o sol tinha despontado, quando os trabalhadores iniciam a jornada.;D)Tão logo o sol despontasse, os trabalhadores teriam iniciado a jornada.";1;10
"(Verdadeiro ou Falso) Na frase ""A construção do prédio foi rápida"", o termo ""do prédio"" é um Complemento Nominal.";"A)Verdadeiro;B)Falso";0;10
"(Verdadeiro ou Falso) Na sentença ""Faz dez anos que não o vejo"", o verbo ""fazer"" deveria ir para o plural caso o tempo fosse ""vinte anos"".";"A)Verdadeiro;B)Falso";1;10
"Analise a frase: ""O juiz considerou a sentença injusta e o advogado, perplexo, retirou-se."" Quantos predicativos existem nesta estrutura?";"A)1;B)2;C)3;D)4";1;10
"Assinale a opção que altera a pontuação sem causar erro gramatical ou mudança drástica de sentido na frase: ""Os convidados, que estavam cansados, saíram cedo.""";"A)Os convidados que estavam cansados saíram cedo.;B)Os convidados saíram cedo, pois estavam cansados.;C)Os convidados cansados saíram cedo, que estavam.;D)Saíram cedo, os convidados que, estavam cansados.";1;10
"""A resposta à pergunta foi satisfatória."" Se trocarmos ""pergunta"" por ""questionamento"", a forma correta será:";"A)A resposta à questionamento...;B)A resposta ao questionamento...;C)A resposta a questionamento...;D)A resposta ào questionamento...";1;10
"Qual a função sintática do pronome relativo em: ""Este é o cargo a que aspiro""?";"A)Objeto Direto;B)Objeto Indireto;C)Complemento Nominal;D)Sujeito";1;10
Identifique a alternativa onde o uso da vírgula é facultativo (opcional):;"A)Brasília, capital do Brasil, é jovem.;B)Ontem, os alunos fizeram a prova.;C)Comprei frutas, flores e livros.;D)Pare de gritar, menino!";1;10
"(Verdadeiro ou Falso) A palavra ""interviu"" é a forma correta do pretérito perfeito do verbo intervir.";"A)Verdadeiro;B)Falso";0;10
